ts	phase	decision	why	evidence	result
2026-09-09T22:57:55Z	frame	included four sbollmann webapp datasets and set a byte-identical public-bucket predicate	counted account datasets and included QSM data even though no active URL points to it	.audit/hf-assets-migration-plan.md	scope is 114 objects and 2,990,491,660 bytes
2026-09-09T22:57:55Z	safety	kept all source datasets in place during the consumer switch	bucket deletion is immediate and deployed apps may still use the old URLs	.audit/hf-assets-migration-plan.md	copy-only migration planned
2026-09-09T23:04:15Z	frame	corrected the object count from 114 to 122 source files	the first QSM count omitted eight files; the byte total was already correct	hf datasets list sbollmann/qsm -R --format json	118 content objects after four dataset-only .gitattributes files are excluded
2026-09-09T23:06:24Z	transfer	copied four pinned dataset snapshots into public bucket prefixes	server-side copies preserve Xet content and avoid local staging of 3 GB	scripts/hf-webapp-assets.mjs verify	117 content objects and 2,990,480,558 bytes verified
2026-09-09T23:06:24Z	frame	corrected QSM to 27 files and the total source inventory to 121 files	the remote recursive listing is authoritative; four .gitattributes files are dataset metadata	scripts/hf-webapp-assets.mjs verify	117 destination content objects expected
2026-09-09T23:36:19Z	frame	expanded the source-account inventory to all five repositories	the authenticated account inventory exposed a webapp-related ISLES26 model in addition to the four datasets	hf repos list --limit 1000 --format json	132 source files across five repositories; 127 content objects after five .gitattributes files are excluded
2026-09-09T23:36:19Z	transfer	copied the pinned ISLES26 model snapshot and reran the complete idempotent transfer	all source-account webapp assets belong in the destination even when current browser code has no direct URL	node scripts/hf-webapp-assets.mjs apply && node scripts/hf-webapp-assets.mjs verify	127 objects and 3,614,820,151 bytes verified across five source snapshots
2026-09-09T23:36:19Z	consumers	replaced active dataset URLs and updated future publishers	runtime consumers and release tooling must converge on the bucket rather than only copying remote bytes	pnpm audit:hf-assets; pnpm test:registry; app manifest tests; pnpm build	no stale source references; manifests, app tests, and all 17 production builds passed
2026-09-09T23:36:20Z	verification	verified destination integrity, public access, and interfaces	the migration predicate requires remote equality and anonymous readability as well as source changes	remote inventory Xet comparison; four anonymous byte comparisons; interface/mobile/workflow suites	all copied objects matched; all public samples and interface suites passed
2026-09-09T23:53:53Z	verification	ran the complete repository suite after the consumer migration	all app behavior and shared contracts should remain green, including real SCT worker inference	pnpm test	90 root tests and all 22 Turbo package test tasks passed in 13m22s
2026-09-09T23:53:54Z	verification	removed a pre-existing unavailable DeepISLES runtime URL and linked its migrated training manifest	a benchmark-only ONNX was never present in the source dataset, so rewriting its 404 URL would falsely claim publication	anonymous HEAD audit of literal bucket URLs; CALMaR manifest and DeepISLES tests	25 literal file URLs are publicly readable; the unpublished runtime candidate remains disabled and explicit
2026-09-10T00:04:01Z	verification	added byte-for-byte fallback verification for source files without Xet hashes	size equality alone does not prove content equality for Git-stored metadata	node scripts/hf-webapp-assets.mjs verify-content	33 non-Xet objects totaling 186,236 bytes matched exactly
2026-09-10T00:04:01Z	fix	resolved transitive Schaefer shard filenames against the migrated index URL	the copied index retained old absolute sbollmann URLs that the loader previously trusted	CALMaR atlas-loader regression test; real remote index interception; public HEAD checks	channel 1 resolves to the pinned bucket snapshot and all 10 shard URLs are public
2026-09-10T00:04:01Z	fix	pinned every historical MuscleMap asset URL before future publication-base changes	a future whole-body activation updates the global base but uploads no regional models	MuscleMap generated-contract validation and 33-test suite	legacy and retired assets must retain explicit URLs; activation pins a retiring active model
2026-09-10T00:07:03Z	review	accepted and fixed four cross-model audit findings	the independent reviewer exposed a transitive remote-index dependency, two future-publisher regressions, and an incomplete non-Xet verifier	gpt-6-astra review; focused reruns; final re-audit	no blockers remain; one documented caveat is that bucket prefix immutability is conventional
2026-09-10T00:07:03Z	verification	completed the post-review application validation	the fixes touched CALMaR runtime loading and MuscleMap release contracts after the earlier full suite	pnpm --filter calmar test; pnpm --filter musclemap test and build; derived URL HEAD audits	CALMaR full suite, 33 MuscleMap tests, app builds, 34 manifest asset URLs, and 10 nested shard URLs passed
